Date,Open,Close,High,Low,Volume
2022-09-01 08:00:00,19901.83003837,20090.43248359,20126.55076793,19831.0,1025.40150095
2022-09-01 12:00:00,20091.43395074,19781.87961146,20100.0,19654.0,2751.64220199
2022-09-01 16:00:00,19781.87961146,19883.0,19944.0,19581.0,733.40340775
2022-09-01 20:00:00,19884.0,20144.0,20184.0,19858.0,533.36871372
2022-09-02 00:00:00,20142.41710996,20170.0,20261.26794759,19952.0,405.15697572
2022-09-02 04:00:00,20165.34687982,20120.0,20298.0,20050.16780783,361.45420557
2022-09-02 08:00:00,20122.90781914,20100.85915204,20176.0,20003.0,383.60602173
2022-09-02 12:00:00,20102.85834237,20359.83217031,20441.42260626,20044.0,2459.53342277
2022-09-02 16:00:00,20359.79769525,19916.0,20384.8358686,19764.0,2338.69175298
2022-09-02 20:00:00,19916.0,19970.0,20038.0,19872.08639637,347.19036216
2022-09-03 00:00:00,19969.84380935,19913.0,20063.72915111,19885.0,144.30680049
2022-09-03 04:00:00,19912.0,19828.0,19978.0,19758.0,235.04997897
2022-09-03 08:00:00,19827.25468693,19810.0,19880.0,19735.0,214.16003863
2022-09-03 12:00:00,19809.42442193,19783.0,19908.0,19757.0326114,121.34580447
2022-09-03 16:00:00,19783.0,19703.96289177,19843.0,19646.41290961,842.96533067
2022-09-03 20:00:00,19703.26114015,19835.0,19845.0,19684.0,88.52919763
2022-09-04 00:00:00,19833.70674633,19768.98182723,19857.04584432,19750.0,252.85535614
2022-09-04 04:00:00,19769.0,19638.0,19809.0,19627.0,123.82074968
2022-09-04 08:00:00,19636.0,19838.0,19850.0,19589.0,293.67199336
2022-09-04 12:00:00,19849.0,19782.0,19945.0,19650.0,316.66820082
2022-09-04 16:00:00,19787.0,19865.57132188,19950.0,19727.0,340.23500859
2022-09-04 20:00:00,19876.0,20003.0,20039.0,19800.2590965,714.50948785
2022-09-05 00:00:00,20004.0,19889.60977945,20060.0,19820.0,279.30090979
2022-09-05 04:00:00,19890.0,19756.88121721,19911.0,19691.0,757.19562832
2022-09-05 08:00:00,19756.13505298,19696.00248443,19798.0,19637.0,340.54487242
2022-09-05 12:00:00,19697.0,19855.0,19965.0,19669.49770195,457.90182492
2022-09-05 16:00:00,19854.0,19706.0,19909.0,19672.0,148.25898184
2022-09-05 20:00:00,19711.74055498,19788.90905518,19867.0262484,19701.0,262.76795235000003
2022-09-06 00:00:00,19789.0,19787.0,20183.0,19684.0,704.84388573
2022-09-06 04:00:00,19790.0,19906.0,19945.0,19736.88015035,980.87870942
2022-09-06 08:00:00,19906.29163361,19914.36835691,20015.0,19862.0,1168.45447589
2022-09-06 12:00:00,19914.36835691,19811.0,19989.0,19663.0,2394.52083846
2022-09-06 16:00:00,19811.42826,18824.26120361,19845.0,18780.0,5587.6932744
2022-09-06 20:00:00,18823.44784553,18794.0,19053.0,18675.0,1280.12715765
2022-09-07 00:00:00,18794.0,18739.0,18862.85096915,18549.0,1450.04194889
2022-09-07 04:00:00,18742.15700805,18794.06096576,18837.09037,18680.0,309.59807376
2022-09-07 08:00:00,18794.06096576,18743.91359154,18857.0,18703.0,918.25340182
2022-09-07 12:00:00,18743.0,18880.62303908,19005.0,18677.24921314,1527.46491009
2022-09-07 16:00:00,18881.0,18999.0,19302.0,18860.45412719,962.10254881
2022-09-07 20:00:00,18999.47547107,19286.0,19463.0,18996.49287819,1020.11515734
2022-09-08 00:00:00,19286.0,19212.47423246,19374.82366895,19149.0,180.8648434
2022-09-08 04:00:00,19212.57944715,19174.0,19378.49634869,19057.0,581.80927574
2022-09-08 08:00:00,19174.30938239,19316.0,19393.0,19143.08391947,892.6110786200001
2022-09-08 12:00:00,19315.67173033,19247.08989222,19369.77774185,19029.17130173,5821.15664328
2022-09-08 16:00:00,19248.0,19343.93238076,19343.93238076,19100.39450337,487.13605737
2022-09-08 20:00:00,19345.0,19321.99343392,19460.0,19260.0,260.83002557
2022-09-09 00:00:00,19323.45389847,19945.00882753,19960.0,19304.35664047,1063.11696151
2022-09-09 04:00:00,19951.95508089,20640.0,20830.0,19937.62711198,4136.5046825
2022-09-09 08:00:00,20641.98587134,20965.0,21216.48419024,20640.0,2158.89864872
2022-09-09 12:00:00,20964.15773624,21274.0,21337.0,20938.22150073,2692.78128394
2022-09-09 16:00:00,21274.0,21298.0,21429.0,21136.0,756.20307573
2022-09-09 20:00:00,21302.0,21373.0,21590.0,21206.0,1185.04201687
2022-09-10 00:00:00,21373.0,21317.0,21392.0,21179.0,191.4815381
2022-09-10 04:00:00,21313.90567091,21285.0,21665.0,21259.0,618.57871428
2022-09-10 08:00:00,21291.0,21299.50635386,21395.0,21275.0,1156.32242074
2022-09-10 12:00:00,21300.0,21230.0,21369.0,21139.0,1435.59134976
2022-09-10 16:00:00,21228.66141915,21589.45237501,21641.0,21185.0,250.92771974000001
2022-09-10 20:00:00,21589.45237501,21656.0,21802.0,21373.0,1717.45058125
2022-09-11 00:00:00,21654.41794906,21553.693,21688.0,21461.0,214.26012893
2022-09-11 04:00:00,21552.32918984,21609.0,21642.0,21359.0,287.12835206
2022-09-11 08:00:00,21609.06028306,21617.0,21723.4704,21565.0,266.91414094
2022-09-11 12:00:00,21614.97456482,21643.0,21752.0,21469.0,151.45834823
2022-09-11 16:00:00,21647.0,21620.99504438,21843.0,21532.0,408.49871692
2022-09-11 20:00:00,21620.99504438,21834.0,21854.0,21471.0,914.42693586
2022-09-12 00:00:00,21832.92465912,21656.0,22350.0,21553.0,2139.47385974
2022-09-12 04:00:00,21657.67795046,22205.0,22237.0,21636.0,1088.8967473
2022-09-12 08:00:00,22201.60485686,22313.39088003,22450.0,21973.0,1475.55053062
2022-09-12 12:00:00,22314.0,22121.0,22480.0,22017.0,2186.26228471
2022-09-12 16:00:00,22115.0,22419.0,22447.0,22016.0,558.55980088
2022-09-12 20:00:00,22425.0,22395.0,22474.0,22250.0,387.44149535
2022-09-13 00:00:00,22395.0,22224.0,22439.0,22072.0,808.86943038
2022-09-13 04:00:00,22225.37394326,22267.51234253,22626.0,22181.0,1959.54587679
2022-09-13 08:00:00,22268.0,22538.0,22712.0,22188.0,979.91807141
2022-09-13 12:00:00,22531.0,20833.0,22794.0,20777.0,8007.52665548
2022-09-13 16:00:00,20838.0,20292.0,20943.0,20066.0,2849.23639371
2022-09-13 20:00:00,20292.0,20175.11037941,20420.0,19883.0,1451.79684837
2022-09-14 00:00:00,20177.0,20320.0,20536.0,20061.0,1165.69452362
2022-09-14 04:00:00,20320.0,20252.88631107,20407.0,20131.0,1607.7295003899999
2022-09-14 08:00:00,20251.90949705,20224.20049963,20424.0,20073.0,1471.45956612
2022-09-14 12:00:00,20227.0,20187.8990605,20402.0,20078.0,1476.58934757
2022-09-14 16:00:00,20186.8990655,19960.0,20239.0,19624.0,1634.18619619
2022-09-14 20:00:00,19955.0,20234.10830414,20391.0,19860.244572,909.23367979
2022-09-15 00:00:00,20236.0,20031.0,20278.0,19922.0,374.17142215
2022-09-15 04:00:00,20030.0,20206.0,20330.0,19966.0,538.16805204
2022-09-15 08:00:00,20205.66429987,20167.90282581,20228.0,20041.0,576.16123563
2022-09-15 12:00:00,20167.90282581,19754.0,20191.0,19507.96149205,2024.31402945
2022-09-15 16:00:00,19754.0,19803.55402264,19954.0,19667.0,403.64199472
2022-09-15 20:00:00,19797.0,19714.0,19907.0,19605.25174217,310.20848697
2022-09-16 00:00:00,19717.0,19762.39734545,19818.0,19602.0,207.21847504000002
